[1612308000000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612308299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612308300000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612308599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612308600000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612308899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612308900000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612309199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612309200000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612309499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612309500000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612309799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612309800000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612310099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612310100000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612310399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612310400000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612310699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612310700000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612310999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612311000000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612311299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612311300000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612311599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612311600000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612311899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612311900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00100000', 1612312199999, '702.00000000', 1, '0.00100000', '702.00000000', '0']
[1612312200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612312499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612312500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612312799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612312800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612313099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612313100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612313399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612313400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612313699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612313700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612313999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612314000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612314299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612314300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612314599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612314600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612314899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612314900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612315199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612315200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612315499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612315500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612315799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612315800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612316099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612316100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612316399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612316400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612316699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612316700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612316999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612317000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612317299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612317300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612317599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612317600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612317899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612317900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612318199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612318200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612318499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612318500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612318799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612318800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612319099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
